locale,key,master,existing
az,reasoning.activities.whatDoesntBelong.subtitle,"Gruba uymayanı bul","[AZ-TRANSLATION-NEEDED]"
az,reasoning.activities.whatDoesntBelong.title,"Hangisi Farklı?","[AZ-TRANSLATION-NEEDED]"
az,reasoning.title,"Akıl Oyunları","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.about.title,"Hakkında","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.activityManagement.title,"Etkinlik Yönetimi","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.autoSpeak.subtitle,"Sorular otomatik okunur","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.autoSpeak.title,"Otomatik Seslendirme","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.backToSettingsAria,"Ayarlara dön","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.banButton.subtitle,"'Yasakla' düğmesini gösterir","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.banButton.title,"Görsel Yasaklama","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.content.title,"İçerik Ayarları","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.data.title,"Veri Yönetimi","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.fastMode.subtitle,"Geçişleri hızlandırır","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.fastMode.title,"Hızlı Mod","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.general.title,"Genel Ayarlar","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.manageBanned.subtitle,"Yasakladıklarınızı düzenleyin","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.manageBanned.title,"Yasaklı Görselleri Yönet","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.mute.subtitle,"Tüm sesleri kapatır","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.mute.title,"Sessiz Mod","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.premium.cta,"Premium'a Geç & Destek Ol","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.premium.desc,"Tüm reklamları kaldırın, temalı arayüzü açın, gelişim raporunu görüntüleyin ve daha fazlasına erişin!","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.premium.title,"Premium Özellikler","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.privacy.read,"Oku","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.privacy.subtitle,"Veri kullanımı ve haklarınız","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.privacy.title,"Gizlilik Politikası","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.profile.active,"Aktif Profil","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.profile.manage,"Yönet","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.profile.title,"Profil","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.reset.confirm,"{name} için tüm ilerlemeyi sıfırlamak istediğinizden emin misiniz? Bu işlem geri alınamaz.","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.reset.subtitle,"{name}'in tüm verilerini siler","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.reset.title,"İlerlemeyi Sıfırla","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.theme.title,"Uygulama Teması","[AZ-TRANSLATION-NEEDED]"
az,settingsEx.title,"Ayarlar","[AZ-TRANSLATION-NEEDED]"
az,story.readStory,"Hikayeyi seslendir","[AZ-TRANSLATION-NEEDED]"
az,tabs.achievements,"Raporlar","[AZ-TRANSLATION-NEEDED]"
az,tabs.activities,"Etkinlikler","[AZ-TRANSLATION-NEEDED]"
az,tabs.communication,"İletişim","[AZ-TRANSLATION-NEEDED]"
az,tabs.settings,"Ayarlar","[AZ-TRANSLATION-NEEDED]"
az,themes.ay,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,themes.ay2,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,themes.balon,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,themes.geceorman,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,themes.geometri,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,themes.gunbatimi,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,themes.gunes,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,themes.kar,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,themes.kedi,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,themes.kus,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,themes.simple,"Sade","[AZ-TRANSLATION-NEEDED]"
az,themes.tilki,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,themes.tilki2,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,themes.yagmur,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,themes.zurafa,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
de,activityMgmt.concepts,"Kavram Etkinlikleri","[DE-TRANSLATION-NEEDED]"
de,activityMgmt.fineMotor,"İnce Motor Beceriler","[DE-TRANSLATION-NEEDED]"
de,activityMgmt.lineTracing,"Çizgi Takip","[DE-TRANSLATION-NEEDED]"
de,activityMgmt.objects,"Nesneleri Tanıyalım","[DE-TRANSLATION-NEEDED]"
de,activityMgmt.reasoning,"Akıl Oyunları","[DE-TRANSLATION-NEEDED]"
de,activityMgmt.rhythmFollowing,"Ritim Takip","[DE-TRANSLATION-NEEDED]"
de,activityMgmt.shapeColoring,"Şekil Boyama","[DE-TRANSLATION-NEEDED]"
de,activityMgmt.title,"Etkinlik Yönetimi","[DE-TRANSLATION-NEEDED]"
de,communication.printSelectionCount,"",""
de,consent.accept,"Kabul Ediyorum","[DE-TRANSLATION-NEEDED]"
de,consent.body,"Uygulamayı kullanmaya devam etmek için Gizlilik Politikası'nı kabul etmeniz gerekir. Kişisel veriler toplamıyoruz; oyun ilerlemeniz ve ayarlarınız yalnızca cihazınızda saklanır. Ücretsiz sürümde kişiselleştirilmemiş reklamlar gösterilebilir.","[DE-TRANSLATION-NEEDED]"
de,consent.title,"Gizlilik Sözleşmesi","[DE-TRANSLATION-NEEDED]"
de,consent.viewPolicy,"Gizlilik Politikası'nı Oku","[DE-TRANSLATION-NEEDED]"
de,reasoning.activities.memoryCards.instruction,"Kartların yerini aklında tut ve eşlerini bul.","[DE-TRANSLATION-NEEDED]"
de,reasoning.activities.memoryCards.memorizeTitle,"Ezberle!","[DE-TRANSLATION-NEEDED]"
de,reasoning.activities.memoryCards.playTitle,"Eşini Bul","[DE-TRANSLATION-NEEDED]"
en,communication.printSelectionCount,"",""
fr,activityMgmt.concepts,"Kavram Etkinlikleri","[FR-TRANSLATION-NEEDED]"
fr,activityMgmt.fineMotor,"İnce Motor Beceriler","[FR-TRANSLATION-NEEDED]"
fr,activityMgmt.lineTracing,"Çizgi Takip","[FR-TRANSLATION-NEEDED]"
fr,activityMgmt.objects,"Nesneleri Tanıyalım","[FR-TRANSLATION-NEEDED]"
fr,activityMgmt.reasoning,"Akıl Oyunları","[FR-TRANSLATION-NEEDED]"
fr,activityMgmt.rhythmFollowing,"Ritim Takip","[FR-TRANSLATION-NEEDED]"
fr,activityMgmt.shapeColoring,"Şekil Boyama","[FR-TRANSLATION-NEEDED]"
fr,activityMgmt.title,"Etkinlik Yönetimi","[FR-TRANSLATION-NEEDED]"
fr,choice.hideHint,"İpucunu gizle","[FR-TRANSLATION-NEEDED]"
fr,choice.hideLabel,"Etiketleri gizle","[FR-TRANSLATION-NEEDED]"
fr,choice.showHint,"İpucu göster","[FR-TRANSLATION-NEEDED]"
fr,communication.printSelectionCount,"",""
fr,feedback.rightPrefix,"Doğru, bu","[FR-TRANSLATION-NEEDED]"
fr,parentTips.communication.text,"Çocuğunuzun ihtiyaçlarını, duygularını veya isteklerini ifade etmesine yardımcı olmak için İletişim Kartları bölümünü kullanın.","[FR-TRANSLATION-NEEDED]"
fr,parentTips.communication.title,"İletişim Kartları","[FR-TRANSLATION-NEEDED]"
fr,parentTips.customize.text,"Ayarlar'daki Etkinlik Yönetimi'ni kullanarak belirli becerilere odaklanın veya çocuğunuzun henüz hazır olmadığı etkinlikleri geçici olarak devre dışı bırakın.","[FR-TRANSLATION-NEEDED]"
fr,parentTips.customize.title,"Etkinlikleri Özelleştirin","[FR-TRANSLATION-NEEDED]"
fr,parentTips.extra.practice.text,"Yakında çocuğunuzun en çok zorlandığı etkinliklere göre bir 'Alıştırma Oturumu' başlatabileceksiniz.","[FR-TRANSLATION-NEEDED]"
fr,parentTips.extra.practice.title,"Alıştırma Modu (Yakında)","[FR-TRANSLATION-NEEDED]"
fr,parentTips.extra.title,"Ek İpuçları","[FR-TRANSLATION-NEEDED]"
fr,parentTips.guide,"Uygulama Rehberi","[FR-TRANSLATION-NEEDED]"
fr,parentTips.learnTogether.text,"Etkinlikleri çocuğunuzla birlikte yapın. Nesnelerin isimlerini tekrar edin ve onlar hakkında sorular sorun (""Bu hayvan nerede yaşar?"", ""Bu meyvenin tadı nasıldır?""). Bu, dil gelişimini destekler ve bağınızı güçlendirir.","[FR-TRANSLATION-NEEDED]"
fr,parentTips.learnTogether.title,"Birlikte Öğrenin","[FR-TRANSLATION-NEEDED]"
fr,parentTips.profile.text,"Uygulama ilk açılışta otomatik olarak ""Misafir"" profili oluşturur. Birden fazla çocuğu ayrı ayrı takip etmek isterseniz, Ayarlar menüsünden yeni profiller oluşturabilir veya mevcut profiller arasında geçiş yapabilirsiniz.","[FR-TRANSLATION-NEEDED]"
fr,parentTips.profile.title,"Profil Yönetimi (Opsiyonel)","[FR-TRANSLATION-NEEDED]"
fr,parentTips.progress.achievements.text,"Çocuğunuzun hangi kategorilerde ustalaştığını gösterir. Bir etkinliği 3 kez mükemmel tamamlayarak rozet kazanın!","[FR-TRANSLATION-NEEDED]"
fr,parentTips.progress.achievements.title,"Başarımlar Sekmesi","[FR-TRANSLATION-NEEDED]"
fr,parentTips.progress.report.text,"Çocuğunuz için en zorlayıcı ve en başarılı etkinlikleri vurgular.","[FR-TRANSLATION-NEEDED]"
fr,parentTips.progress.report.title,"İlerleme Raporu","[FR-TRANSLATION-NEEDED]"
fr,parentTips.progress.title,"İlerlemeyi Takip Edin","[FR-TRANSLATION-NEEDED]"
fr,parentTips.randomMode.text,"Farklı kategorilerden tüm etkinleştirilmiş egzersizlerin karışık bir seçkisini sunar ve öğrenmeyi eğlenceli bir şekilde pekiştirir.","[FR-TRANSLATION-NEEDED]"
fr,parentTips.randomMode.title,"Rastgele Modu Deneyin","[FR-TRANSLATION-NEEDED]"
fr,parentTips.settings.ban.text,"Çocuğunuz bir görseli sevmiyorsa, Ayarlar'dan ""Görüntüyü Yasakla"" seçeneğini etkinleştirip etkinliklerdeki yasakla düğmesini kullanarak o görseli daha sonra gizleyebilirsiniz.","[FR-TRANSLATION-NEEDED]"
fr,parentTips.settings.ban.title,"Görüntüyü Yasakla","[FR-TRANSLATION-NEEDED]"
fr,parentTips.settings.fastMode.text,"Geri bildirimleri kısaltır ve etkinlikler arasındakı geçişleri hızlandırır.","[FR-TRANSLATION-NEEDED]"
fr,parentTips.settings.fastMode.title,"Hızlı Mod","[FR-TRANSLATION-NEEDED]"
fr,parentTips.settings.themed.text,"Uygulamanın görünümünü değiştirin. 'Temalı' mod hareketli arka planlara sahiptir, 'Sade' mod ise daha yumuşak bir palet sunar.","[FR-TRANSLATION-NEEDED]"
fr,parentTips.settings.themed.title,"Temalı Arayüz","[FR-TRANSLATION-NEEDED]"
fr,parentTips.settings.title,"Ayarları Keşfedin","[FR-TRANSLATION-NEEDED]"
fr,reasoning.activities.memoryCards.instruction,"Kartların yerini aklında tut ve eşlerini bul.","[FR-TRANSLATION-NEEDED]"
fr,reasoning.activities.memoryCards.memorizeTitle,"Ezberle!","[FR-TRANSLATION-NEEDED]"
fr,reasoning.activities.memoryCards.playTitle,"Eşini Bul","[FR-TRANSLATION-NEEDED]"
nl,accessibility.autoSpeakOff,"Otomatik seslendirmeyi kapat","[NL-TRANSLATION-NEEDED]"
nl,accessibility.autoSpeakOn,"Otomatik seslendirmeyi aç","[NL-TRANSLATION-NEEDED]"
nl,activityMgmt.concepts,"Kavram Etkinlikleri","[NL-TRANSLATION-NEEDED]"
nl,activityMgmt.fineMotor,"İnce Motor Beceriler","[NL-TRANSLATION-NEEDED]"
nl,activityMgmt.lineTracing,"Çizgi Takip","[NL-TRANSLATION-NEEDED]"
nl,activityMgmt.objects,"Nesneleri Tanıyalım","[NL-TRANSLATION-NEEDED]"
nl,activityMgmt.reasoning,"Akıl Oyunları","[NL-TRANSLATION-NEEDED]"
nl,activityMgmt.rhythmFollowing,"Ritim Takip","[NL-TRANSLATION-NEEDED]"
nl,activityMgmt.shapeColoring,"Şekil Boyama","[NL-TRANSLATION-NEEDED]"
nl,activityMgmt.title,"Etkinlik Yönetimi","[NL-TRANSLATION-NEEDED]"
nl,communication.printSelectionCount,"",""
nl,concepts.activities.fewMuch,"Az / Çok","[NL-TRANSLATION-NEEDED]"
nl,concepts.activities.halfQuarterWhole,"[NL-TRANSLATION-NEEDED]","[NL-TRANSLATION-NEEDED]"
nl,concepts.activities.messyClean,"[NL-TRANSLATION-NEEDED]","[NL-TRANSLATION-NEEDED]"
nl,feedback.rightPrefix,"Doğru, bu","[NL-TRANSLATION-NEEDED]"
nl,menu.reasoning.subtitle,"Hafıza, sudoku ve mantık oyunları oyna.","[NL-TRANSLATION-NEEDED]"
nl,menu.reasoning.title,"Akıl Oyunları","[NL-TRANSLATION-NEEDED]"
nl,parentTips.communication.text,"Çocuğunuzun ihtiyaçlarını, duygularını veya isteklerini ifade etmesine yardımcı olmak için İletişim Kartları bölümünü kullanın.","[NL-TRANSLATION-NEEDED]"
nl,parentTips.communication.title,"İletişim Kartları","[NL-TRANSLATION-NEEDED]"
nl,parentTips.customize.text,"Ayarlar'daki Etkinlik Yönetimi'ni kullanarak belirli becerilere odaklanın veya çocuğunuzun henüz hazır olmadığı etkinlikleri geçici olarak devre dışı bırakın.","[NL-TRANSLATION-NEEDED]"
nl,parentTips.customize.title,"Etkinlikleri Özelleştirin","[NL-TRANSLATION-NEEDED]"
nl,parentTips.extra.practice.text,"Yakında çocuğunuzun en çok zorlandığı etkinliklere göre bir 'Alıştırma Oturumu' başlatabileceksiniz.","[NL-TRANSLATION-NEEDED]"
nl,parentTips.extra.practice.title,"Alıştırma Modu (Yakında)","[NL-TRANSLATION-NEEDED]"
nl,parentTips.extra.title,"Ek İpuçları","[NL-TRANSLATION-NEEDED]"
nl,parentTips.guide,"Uygulama Rehberi","[NL-TRANSLATION-NEEDED]"
nl,parentTips.learnTogether.text,"Etkinlikleri çocuğunuzla birlikte yapın. Nesnelerin isimlerini tekrar edin ve onlar hakkında sorular sorun (""Bu hayvan nerede yaşar?"", ""Bu meyvenin tadı nasıldır?""). Bu, dil gelişimini destekler ve bağınızı güçlendirir.","[NL-TRANSLATION-NEEDED]"
nl,parentTips.learnTogether.title,"Birlikte Öğrenin","[NL-TRANSLATION-NEEDED]"
nl,parentTips.profile.text,"Uygulama ilk açılışta otomatik olarak ""Misafir"" profili oluşturur. Birden fazla çocuğu ayrı ayrı takip etmek isterseniz, Ayarlar menüsünden yeni profiller oluşturabilir veya mevcut profiller arasında geçiş yapabilirsiniz.","[NL-TRANSLATION-NEEDED]"
nl,parentTips.profile.title,"Profil Yönetimi (Opsiyonel)","[NL-TRANSLATION-NEEDED]"
nl,parentTips.progress.achievements.text,"Çocuğunuzun hangi kategorilerde ustalaştığını gösterir. Bir etkinliği 3 kez mükemmel tamamlayarak rozet kazanın!","[NL-TRANSLATION-NEEDED]"
nl,parentTips.progress.achievements.title,"Başarımlar Sekmesi","[NL-TRANSLATION-NEEDED]"
nl,parentTips.progress.report.text,"Çocuğunuz için en zorlayıcı ve en başarılı etkinlikleri vurgular.","[NL-TRANSLATION-NEEDED]"
nl,parentTips.progress.report.title,"İlerleme Raporu","[NL-TRANSLATION-NEEDED]"
nl,parentTips.progress.title,"İlerlemeyi Takip Edin","[NL-TRANSLATION-NEEDED]"
nl,parentTips.randomMode.text,"Farklı kategorilerden tüm etkinleştirilmiş egzersizlerin karışık bir seçkisini sunar ve öğrenmeyi eğlenceli bir şekilde pekiştirir.","[NL-TRANSLATION-NEEDED]"
nl,parentTips.randomMode.title,"Rastgele Modu Deneyin","[NL-TRANSLATION-NEEDED]"
nl,parentTips.settings.ban.text,"Çocuğunuz bir görseli sevmiyorsa, Ayarlar'dan ""Görüntüyü Yasakla"" seçeneğini etkinleştirip etkinliklerdeki yasakla düğmesini kullanarak o görseli daha sonra gizleyebilirsiniz.","[NL-TRANSLATION-NEEDED]"
nl,parentTips.settings.ban.title,"Görüntüyü Yasakla","[NL-TRANSLATION-NEEDED]"
nl,parentTips.settings.fastMode.text,"Geri bildirimleri kısaltır ve etkinlikler arasındakı geçişleri hızlandırır.","[NL-TRANSLATION-NEEDED]"
nl,parentTips.settings.fastMode.title,"Hızlı Mod","[NL-TRANSLATION-NEEDED]"
nl,parentTips.settings.themed.text,"Uygulamanın görünümünü değiştirin. 'Temalı' mod hareketli arka planlara sahiptir, 'Sade' mod ise daha yumuşak bir palet sunar.","[NL-TRANSLATION-NEEDED]"
nl,parentTips.settings.themed.title,"Temalı Arayüz","[NL-TRANSLATION-NEEDED]"
nl,parentTips.settings.title,"Ayarları Keşfedin","[NL-TRANSLATION-NEEDED]"
nl,reasoning.activities.memoryCards.instruction,"Kartların yerini aklında tut ve eşlerini bul.","[NL-TRANSLATION-NEEDED]"
nl,reasoning.activities.memoryCards.memorizeTitle,"Ezberle!","[NL-TRANSLATION-NEEDED]"
nl,reasoning.activities.memoryCards.playTitle,"Eşini Bul","[NL-TRANSLATION-NEEDED]"
tr,communication.printSelectionCount,"",""